COUNTY,LABEL,FULL_,FIPS,POP,Desc_,Metric,Value,Rate,Date,ObjectId
RIO GRANDE,Rio Grande,Rio Grande County,105,11226,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,427.6,06/10/2020,21003
ROUTT,Routt,Routt County,107,25683,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,245.3,06/10/2020,21004
SUMMIT,Summit,Summit County,117,30973,"Total Testing Rate Per 100,000 People in Colorado by County","Rate Per 100,000",,6554.1,06/09/2020,21005
TELLER,Teller,Teller County,119,25060,"Total Testing Rate Per 100,000 People in Colorado by County","Rate Per 100,000",,4684.8,06/09/2020,21006
WASHINGTON,Washington,Washington County,121,4729,"Total Testing Rate Per 100,000 People in Colorado by County","Rate Per 100,000",,7908.6,06/09/2020,21007
WELD,Weld,Weld County,123,314251,"Total Testing Rate Per 100,000 People in Colorado by County","Rate Per 100,000",,6998.9,06/09/2020,21008
YUMA,Yuma,Yuma County,125,10029,"Total Testing Rate Per 100,000 People in Colorado by County","Rate Per 100,000",,7308.8,06/09/2020,21009
DENVER,Denver,Denver County,31,717797,Number of Deaths by County,Deaths,349,,06/09/2020,21010
ARAPAHOE,Arapahoe,Arapahoe County,5,651342,Number of Deaths by County,Deaths,329,,06/09/2020,21011
JEFFERSON,Jefferson,Jefferson County,59,579491,Number of Deaths by County,Deaths,185,,06/09/2020,21012
ADAMS,Adams,Adams County,1,511473,Number of Deaths by County,Deaths,140,,06/09/2020,21013
WELD,Weld,Weld County,123,314251,Number of Deaths by County,Deaths,135,,06/09/2020,21014
EL PASO,El Paso,El Paso County,41,714395,Number of Deaths by County,Deaths,99,,06/09/2020,21015
BOULDER,Boulder,Boulder County,13,325476,Number of Deaths by County,Deaths,67,,06/09/2020,21016
DOUGLAS,Douglas,Douglas County,35,342842,Number of Deaths by County,Deaths,47,,06/09/2020,21017
MORGAN,Morgan,Morgan County,87,28503,Number of Deaths by County,Deaths,45,,06/09/2020,21018
LARIMER,Larimer,Larimer County,69,350362,Number of Deaths by County,Deaths,28,,06/09/2020,21019
BROOMFIELD,Broomfield,Broomfield County,14,69453,Number of Deaths by County,Deaths,27,,06/09/2020,21020
CHAFFEE,Chaffee,Chaffee County,15,20028,Number of Deaths by County,Deaths,20,,06/09/2020,21021
PUEBLO,Pueblo,Pueblo County,101,167116,Number of Deaths by County,Deaths,19,,06/09/2020,21022
MONTROSE,Montrose,Montrose County,85,42260,Number of Deaths by County,Deaths,12,,06/09/2020,21023
EAGLE,Eagle,Eagle County,37,54863,Number of Deaths by County,Deaths,8,,06/09/2020,21024
GUNNISON,Gunnison,Gunnison County,51,17173,Number of Deaths by County,Deaths,6,,06/09/2020,21025
ROUTT,Routt,Routt County,107,25683,Number of Deaths by County,Deaths,6,,06/09/2020,21026
LOGAN,Logan,Logan County,75,21854,Number of Deaths by County,Deaths,5,,06/09/2020,21027
KIT CARSON,Kit Carson,Kit Carson County,63,7157,Number of Deaths by County,Deaths,3,,06/09/2020,21028
MONTEZUMA,Montezuma,Montezuma County,83,26159,Number of Deaths by County,Deaths,3,,06/09/2020,21029
ALAMOSA,Alamosa,Alamosa County,3,16184,Number of Deaths by County,Deaths,2,,06/09/2020,21030
ELBERT,Elbert,Elbert County,39,26218,Number of Deaths by County,Deaths,2,,06/09/2020,21031
GARFIELD,Garfield,Garfield County,45,59807,Number of Deaths by County,Deaths,2,,06/09/2020,21032
PITKIN,Pitkin,Pitkin County,97,17879,Number of Deaths by County,Deaths,2,,06/09/2020,21033
SAGUACHE,Saguache,Saguache County,109,6837,Number of Deaths by County,Deaths,2,,06/09/2020,21034
SUMMIT,Summit,Summit County,117,30973,Number of Deaths by County,Deaths,2,,06/09/2020,21035
TELLER,Teller,Teller County,119,25060,Number of Deaths by County,Deaths,2,,06/09/2020,21036
CLEAR CREEK,Clear Creek,Clear Creek County,19,9663,Number of Deaths by County,Deaths,1,,06/09/2020,21037
CROWLEY,Crowley,Crowley County,25,5857,Number of Deaths by County,Deaths,1,,06/09/2020,21038
DELTA,Delta,Delta County,29,30936,Number of Deaths by County,Deaths,1,,06/09/2020,21039
LA PLATA,La Plata,La Plata County,67,56403,Number of Deaths by County,Deaths,1,,06/09/2020,21040
OTERO,Otero,Otero County,89,18364,Number of Deaths by County,Deaths,1,,06/09/2020,21041
OURAY,Ouray,Ouray County,91,4798,Number of Deaths by County,Deaths,1,,06/09/2020,21042
